,sample,ratio,anneal,tbp_frac,Quality,state,image,group,ratio_step
596,149,1.0136485911131703,200,0.1596463858554344,0.3360307141227405,after,full,3,1.0
600,150,0.5666911212705193,100,0.15348595213319488,0.7902609324588886,after,full,3,0.6000000000000001
604,151,0.3783900950622472,50,0.1561181434599148,0.2493376452754171,after,full,3,0.4
608,152,0.6184974454249879,50,0.15912719531665767,0.3148619121487212,after,full,3,0.6000000000000001
612,153,0.9158065974652032,0,0.1546707503828484,0.17201860877938327,after,full,3,1.0
616,154,0.17903050117935276,50,0.15372983870967702,0.2121775630436352,after,full,3,0.2
620,155,0.8105349929885817,200,0.15450643776823972,0.7781360512194426,after,full,3,0.8
624,156,0.8111732731105993,50,0.16129032258064516,0.5584152312645607,after,full,3,0.8
628,157,0.9543206797349728,100,0.16062992125984338,0.400506408125891,after,full,3,1.0
632,158,0.3869085755179436,250,0.1576805696846376,0.8035095133514993,after,full,3,0.4
636,159,0.17387777678157892,150,0.15297157622739116,0.5987962558637778,after,full,3,0.2
640,160,0.5893585440005883,0,0.1620082815735006,0.2881554566683126,after,full,3,0.6000000000000001
644,161,1.0019200068901286,150,0.12375138734739165,0.3474856341186829,after,full,3,1.0
648,162,0.0,200,0.15165165165165145,0.1821567662308276,after,full,3,0.0
652,163,0.3959932728221943,0,0.16485788113694974,0.13944267463597024,after,full,3,0.4
656,164,0.8185690509366723,100,0.16147757255936712,0.648440513481467,after,full,3,0.8
660,165,0.18965716123170864,0,0.15625,0.18106485654994764,after,full,3,0.2
664,166,0.0,50,0.15312653865091072,0.018959530816494447,after,full,3,0.0
668,167,1.0249061299585622,250,0.1575695159629251,0.24447320691694546,after,full,3,1.0
672,168,0.5969954892445714,200,0.16112266112266174,0.8704682050839715,after,full,3,0.6000000000000001
676,169,0.0,0,0.18138875767595544,0.2387802417886079,after,full,4,0.0
680,170,0.0,150,0.1621890547263679,0.2752041289084287,after,full,4,0.0
684,171,0.188004375512914,200,0.15572519083969566,0.3228785964032716,after,full,4,0.2
688,172,0.6126564412184581,250,0.16280295047418303,0.8100428753127547,after,full,4,0.6000000000000001
692,173,0.4009080646963036,200,0.16147757255936515,0.9634406475917152,after,full,4,0.4
696,174,1.0479416121944878,0,0.15844700944386278,0.15005977808892645,after,full,4,1.0
700,175,0.9909371250387056,50,0.16123949579831914,0.4755856322109416,after,full,4,1.0
704,176,0.59513768025933,150,0.16101694915254142,0.8050664442226939,after,full,4,0.6000000000000001
